iter	Passed	Remaining
0	0	902
1	1	870
2	2	844
3	3	819
4	3	792
5	4	776
6	5	763
7	6	752
8	7	785
9	8	797
10	8	803
11	9	799
12	10	796
13	11	792
14	12	788
15	12	777
16	13	777
17	14	772
18	14	773
19	15	766
20	16	765
21	17	761
22	17	760
23	18	762
24	19	757
25	20	754
26	20	753
27	21	750
28	23	777
29	24	782
30	25	782
31	25	782
32	26	784
33	27	783
34	28	781
35	29	784
36	30	784
37	31	787
38	31	785
39	32	783
40	33	782
41	34	780
42	34	778
43	35	776
44	36	774
45	37	778
46	38	781
47	39	781
48	40	782
49	41	785
50	42	785
51	43	784
52	43	785
53	44	784
54	45	782
55	46	781
56	47	779
57	47	776
58	48	776
59	49	775
60	50	774
61	51	774
62	52	777
63	53	779
64	54	780
65	55	782
66	56	781
67	56	780
68	57	779
69	58	777
70	59	776
71	60	775
72	60	773
73	61	771
74	62	770
75	63	770
76	64	769
77	65	769
78	66	770
79	67	771
80	68	774
81	69	774
82	69	770
83	70	770
84	71	770
85	72	769
86	73	768
87	74	768
88	75	770
89	76	768
90	76	767
91	77	765
92	78	762
93	78	761
94	79	759
95	80	758
96	81	757
97	82	759
98	83	759
99	84	760
100	85	759
101	86	757
102	86	756
103	87	754
104	88	753
105	89	755
106	90	757
107	91	758
108	92	759
109	94	763
110	95	763
111	96	763
112	98	772
113	99	772
114	100	771
115	102	778
116	103	778
117	104	779
118	105	778
119	106	777
120	106	776
121	107	775
122	110	790
123	112	797
124	114	801
125	116	806
126	117	805
127	118	806
128	120	811
129	121	814
130	123	817
131	125	823
132	126	827
133	128	832
134	130	834
135	131	837
136	133	839
137	134	839
138	135	838
139	136	838
140	137	837
141	138	835
142	139	835
143	140	833
144	141	833
145	142	835
146	144	835
147	144	834
148	145	832
149	146	831
150	147	829
151	148	829
152	149	829
153	150	829
154	151	828
155	153	828
156	154	827
157	155	826
158	156	825
159	157	824
160	157	822
161	158	822
162	159	820
163	160	820
164	161	819
165	162	818
166	163	816
167	164	814
168	165	812
169	166	811
170	166	809
171	167	806
172	168	804
173	169	803
174	170	802
175	171	803
176	172	803
177	173	802
178	174	800
179	175	799
180	176	797
181	177	795
182	177	793
183	178	791
184	179	789
185	179	787
186	180	785
187	181	782
188	181	780
189	182	778
190	183	777
191	184	775
192	184	773
193	186	774
194	187	774
195	188	773
196	189	771
197	190	769
198	190	768
199	191	766
200	192	764
201	193	762
202	193	760
203	194	758
204	195	757
